id,property_id,date,status,priority,employee_id
8e8b1c13-660e-43bc-92db-2ba950324b57,85394c39-fa38-4878-8674-c2bb83ef6f79,2021-12-10,Closed,Soon,e42cee48-1424-45a3-95a6-3d6037a57d5f
53629965-6fd9-4a8e-ae67-e21e371e9c7b,85394c39-fa38-4878-8674-c2bb83ef6f79,2022-03-10,Ongoing,ASAP,ec4e6525-651f-4e1e-807f-b3f6241e3e3c
c2d47c93-3b68-4065-8268-2fdcda60d49e,85394c39-fa38-4878-8674-c2bb83ef6f79,2022-06-08,Done,Soon,ec4e6525-651f-4e1e-807f-b3f6241e3e3c
f9533dbd-0d2a-4d1a-b622-e6bd807c3cbf,85394c39-fa38-4878-8674-c2bb83ef6f79,2022-09-06,To Do,Soon,
68423b9d-6eb7-4510-9d29-642096541f05,85394c39-fa38-4878-8674-c2bb83ef6f79,2022-12-05,To Do,Soon,
f9eaf493-a9f2-478e-ba68-d2a2cbd978cc,f125c433-8793-4e10-a9ab-2545cb41ee65,2021-12-12,Done,Now,991f4dc9-b293-409d-aaac-68467aecfc2e
065ed6da-7057-42d7-990e-93df235f97ab,f125c433-8793-4e10-a9ab-2545cb41ee65,2022-01-11,To Do,Now,
995ac4f5-8b14-4c97-8f20-13749e0e6239,f125c433-8793-4e10-a9ab-2545cb41ee65,2022-02-10,To Do,Now,
b723b0a6-6ca3-4efc-a1c5-586d67984e96,f125c433-8793-4e10-a9ab-2545cb41ee65,2022-03-12,To Do,Now,
3669d542-88bb-4d4a-ad3a-522ada43cd80,f125c433-8793-4e10-a9ab-2545cb41ee65,2022-04-11,To Do,Now,
5a512f8d-fc6f-4fc5-a52a-aa11068508ce,f125c433-8793-4e10-a9ab-2545cb41ee65,2022-05-11,To Do,Now,
a128b2cd-94b9-4480-bf27-50aed1facaaa,f125c433-8793-4e10-a9ab-2545cb41ee65,2022-06-10,To Do,Now,
08f51310-e2a0-41f4-b06e-4cf701263186,f125c433-8793-4e10-a9ab-2545cb41ee65,2022-07-10,To Do,Now,
0d277b63-4ccf-4309-a4bb-c0fcc9581fdf,f125c433-8793-4e10-a9ab-2545cb41ee65,2022-08-09,To Do,Now,
7c85bcd3-f1d4-40a8-896c-3fc0ac9eb2e6,f125c433-8793-4e10-a9ab-2545cb41ee65,2022-09-08,To Do,Now,
23cd11b2-de0e-465a-b1b0-23780e577615,f125c433-8793-4e10-a9ab-2545cb41ee65,2022-10-08,To Do,Now,
691141fb-7616-488a-8af8-a46e8f68bac3,f125c433-8793-4e10-a9ab-2545cb41ee65,2022-11-07,To Do,Now,
873425a2-7547-41c5-a883-7f1174d75b61,f125c433-8793-4e10-a9ab-2545cb41ee65,2022-12-07,To Do,Now,
